Date,Portfolio_Value,Returns,Cumulative_Max,Drawdown
2020-01-02,99830.42431640625,,99830.42431640625,0.0
2020-01-03,98921.61619567871,-0.009103518561106472,99830.42431640625,-0.00910351856110647
2020-01-06,98615.85530090332,-0.003090941156587701,99830.42431640625,-0.012166321277503837
2020-01-07,98297.14758300781,-0.0032318101072392746,99830.42431640625,-0.01535881214467058
2020-01-08,99198.51304626465,0.009169802841894947,99830.42431640625,-0.006329846582027925
2020-01-09,100222.45048522949,0.010322104712268132,100222.45048522949,0.0
2020-01-10,99995.96534729004,-0.002259824389075682,100222.45048522949,-0.002259824389075698
2020-01-13,99409.35597991943,-0.005866330359762917,100222.45048522949,-0.008112897872417221
2020-01-14,98911.40571594238,-0.005009088521583771,100222.45048522949,-0.013081348170391499
2020-01-15,99076.73528289795,0.0016714914297180083,100222.45048522949,-0.011431722102029378
2020-01-16,100194.85935974121,0.011285435209896999,100222.45048522949,-0.0002752988512523704
2020-01-17,100720.24408721924,0.0052436295717694925,100720.24408721924,0.0
2020-01-21,100464.33142852783,-0.0025408264347512866,100720.24408721924,-0.002540826434751263
2020-01-22,100495.38747406006,0.0003091250903741738,100720.24408721924,-0.0022324867775783378
2020-01-23,100823.01107025146,0.0032600859046985065,100823.01107025146,0.0
2020-01-24,100000.64241790771,-0.008156557155099664,100823.01107025146,-0.008156557155099642
2020-01-27,99518.68517303467,-0.004819541487132928,100823.01107025146,-0.012936787776631355
2020-01-28,101158.54598999023,0.016477918836089067,101158.54598999023,0.0
2020-01-29,101870.90525054932,0.00704200770767871,101870.90525054932,0.0
2020-01-30,102829.53352355957,0.00941022631194377,102829.53352355957,0.0
2020-01-31,100763.8741531372,-0.02008819158893771,102829.53352355957,-0.020088191588937765
2020-02-03,100575.75983428955,-0.0018668825551682033,102829.53352355957,-0.021917571849663704
2020-02-04,103101.3932723999,0.02511175100512908,103101.3932723999,0.0
2020-02-05,103601.38459777832,0.0048495108505217654,103601.38459777832,0.0
2020-02-06,104791.85397338867,0.011490863565503773,104791.85397338867,0.0
2020-02-07,104399.4616317749,-0.0037444927896153057,104791.85397338867,-0.003744492789615264
2020-02-10,103916.54231262207,-0.004625687830231651,104791.85397338867,-0.00835285976511955
2020-02-11,102910.56900024414,-0.00968058876854816,104791.85397338867,-0.017952587933240245
2020-02-12,103611.19471740723,0.006808102646497005,104791.85397338867,-0.011266708348162896
2020-02-13,103243.34716796875,-0.0035502683898371856,104791.85397338867,-0.014776976899494086
2020-02-14,103735.23846435547,0.004764387341941179,104791.85397338867,-0.01008299279924492
2020-02-18,103913.00296020508,0.001713636547051367,104791.85397338867,-0.008386634837157984
2020-02-19,104536.61236572266,0.00600126440149551,104791.85397338867,-0.0024357008487590347
