"('Date', '')","('Close', 'Spy')","('High', 'Spy')","('Low', 'Spy')","('Open', 'Spy')","('Volume', 'Spy')","('Ticker', '')","('Close', 'Qqq')","('High', 'Qqq')","('Low', 'Qqq')","('Open', 'Qqq')","('Volume', 'Qqq')","('Close', 'Aapl')","('High', 'Aapl')","('Low', 'Aapl')","('Open', 'Aapl')","('Volume', 'Aapl')","('Close', 'Msft')","('High', 'Msft')","('Low', 'Msft')","('Open', 'Msft')","('Volume', 'Msft')"
2020-01-02,300.2915954589844,300.31010039040234,298.12863413834935,299.06223049537607,59151200.0,SPY,,,,,,,,,,,,,,,
2020-01-03,298.0176696777344,299.15462263719553,296.80678163064766,296.8622399985499,77709700.0,SPY,,,,,,,,,,,,,,,
2020-01-06,299.1546936035156,299.23788117510304,296.1228183257225,296.2429875542618,55653900.0,SPY,,,,,,,,,,,,,,,
2020-01-07,298.3135681152344,299.06228454582055,297.86062034468495,298.5816075818695,40496400.0,SPY,,,,,,,,,,,,,,,
2020-01-08,299.9034118652344,301.13277693150195,298.25808072964344,298.5076434459939,68296000.0,SPY,,,,,,,,,,,,,,,
2020-01-09,301.93682861328125,302.01079189751124,300.8923158411731,301.4839092801018,48473300.0,SPY,,,,,,,,,,,,,,,
2020-01-10,301.06805419921875,302.68565608025074,300.5966579758314,302.528533408701,53029300.0,SPY,,,,,,,,,,,,,,,
2020-01-13,303.1385192871094,303.14774354191627,301.26210275652477,301.6965454118192,47086800.0,SPY,,,,,,,,,,,,,,,
2020-01-14,302.6764221191406,303.75788868803704,302.11255767014296,302.6948988420429,62832800.0,SPY,,,,,,,,,,,,,,,
2020-01-15,303.36041259765625,304.12760558690024,302.50077958099183,302.58396714304945,72056600.0,SPY,,,,,,,,,,,,,,,
2020-01-16,305.88385009765625,305.88385009765625,304.5250636393234,304.7561495797968,54050300.0,SPY,,,,,,,,,,,,,,,
2020-01-17,306.8359069824219,307.0484879829405,305.8191232558169,306.6048210540449,95846000.0,SPY,,,,,,,,,,,,,,,
2020-01-21,306.2350769042969,307.0485039278217,305.79140995236185,305.86534504144004,77742400.0,SPY,,,,,,,,,,,,,,,
2020-01-22,306.27197265625,307.7601803634376,306.1148500577505,307.10387616654566,48914900.0,SPY,,,,,,,,,,,,,,,
2020-01-23,306.6233215332031,307.0392875200072,304.4880896462409,305.6157901924544,51963000.0,SPY,,,,,,,,,,,,,,,
2020-01-24,303.896484375,307.3720258999948,302.59315630312693,307.2888383475858,87578400.0,SPY,,,,,,,,,,,,,,,
2020-01-27,299.02520751953125,300.5226399031406,298.2487621431684,298.59076482229733,84062500.0,SPY,,,,,,,,,,,,,,,
2020-01-28,302.1587829589844,303.04614518089073,299.11768371058,300.46721787017,63834000.0,SPY,,,,,,,,,,,,,,,
2020-01-29,301.9092102050781,303.76715053303207,301.70585341192526,303.536064550301,53888900.0,SPY,,,,,,,,,,,,,,,
2020-01-30,302.8889465332031,303.1015557461462,299.06217816135177,299.82011858095734,75491800.0,SPY,,,,,,,,,,,,,,,
2020-01-31,297.38916015625,302.4175930100521,296.4648162964884,302.26044214204876,113845600.0,SPY,,,,,,,,,,,,,,,
2020-02-03,299.59832763671875,301.4839970111189,298.76642380378036,298.8865930190771,69083000.0,SPY,,,,,,,,,,,,,,,
2020-02-04,304.16461181640625,305.0427498347506,302.92599433335187,303.2495203510965,62573200.0,SPY,,,,,,,,,,,,,,,
2020-02-05,307.6770324707031,307.8896416782483,305.6527457063871,307.1316730691546,65951100.0,SPY,,,,,,,,,,,,,,,
2020-02-06,308.7123718261719,308.9064761378909,307.6216246351767,308.64766098602024,50359700.0,SPY,,,,,,,,,,,,,,,
2020-02-07,307.0670166015625,308.72157166610674,306.5124046889222,307.64010523475514,64139400.0,SPY,,,,,,,,,,,,,,,
2020-02-10,309.359375,309.4240858358423,306.1334241774533,306.17040582775377,42070000.0,SPY,,,,,,,,,,,,,,,
2020-02-11,309.8955383300781,311.52236437743323,309.3594030826222,310.72744218058443,54864500.0,SPY,,,,,,,,,,,,,,,
