Date,Open,High,Low,Close,Volume,Ticker
2020-01-02,299.0621393174498,300.3100088320262,298.1285432450574,300.29150390625,59151200,SPY
2020-01-03,296.86220959929,299.1545920031912,296.8067512370668,298.01763916015625,77709700,SPY
2020-01-06,296.2429271131675,299.23782012297437,296.12275790914583,299.1546325683594,55653900,SPY
2020-01-07,298.58154649187225,299.06222335747646,297.8605594022021,298.3135070800781,40496400,SPY
2020-01-08,298.5076434459939,301.13277693150195,298.25808072964344,299.9034118652344,68296000,SPY
2020-01-09,301.4840006955028,302.0108834726726,300.8924070771922,301.9369201660156,48473300,SPY
2020-01-10,302.52850274308224,302.6856253987053,300.59662750603604,301.0680236816406,53029300,SPY
2020-01-13,301.69660615664253,303.14780457892977,301.2621634138756,303.1385803222656,47086800,SPY
2020-01-14,302.69480728371974,303.7577968081836,302.1124662879648,302.67633056640625,62832800,SPY
2020-01-15,302.58402802198736,304.1276667764133,302.50084044319266,303.3604736328125,72056600,SPY
2020-01-16,304.756210389935,305.8839111328125,304.52512440335147,305.8839111328125,54050300,SPY
2020-01-17,306.6048515486395,307.0485185216617,305.81915367226685,306.8359375,95846000,SPY
2020-01-21,305.86534504144004,307.0485039278217,305.79140995236185,306.2350769042969,77742400,SPY
2020-01-22,307.1039679679579,307.76027236103636,306.1149415635169,306.2720642089844,48914900,SPY
2020-01-23,305.6158510270557,307.0393486379639,304.4881502563668,306.6233825683594,51963000,SPY
2020-01-24,307.2887766311026,307.3719641668041,302.59309552973366,303.89642333984375,87578400,SPY
2020-01-27,298.5907952955376,300.522670573542,298.2487925815049,299.0252380371094,84062500,SPY
2020-01-28,300.4672482169026,303.0461757880911,299.1177139210117,302.1588134765625,63834000,SPY
2020-01-29,303.53603386827723,303.76711982764965,301.70582291490285,301.9091796875,53888900,SPY
2020-01-30,299.82011858095734,303.1015557461462,299.06217816135177,302.8889465332031,75491800,SPY
2020-01-31,302.26041112458785,302.4175619764646,296.46478587376487,297.3891296386719,113845600,SPY
2020-02-03,298.8865930190771,301.4839970111189,298.76642380378036,299.59832763671875,69083000,SPY
2020-02-04,303.24945949956697,305.0426886233829,302.9259335467426,304.16455078125,62573200,SPY
2020-02-05,307.1316730691546,307.8896416782483,305.6527457063871,307.6770324707031,65951100,SPY
2020-02-06,308.6476304748391,308.9064456011247,307.6215942254238,308.71234130859375,50359700,SPY
2020-02-07,307.64010523475514,308.72157166610674,306.5124046889222,307.0670166015625,64139400,SPY
2020-02-10,306.1704360307475,309.424116359804,306.1334543767989,309.3594055175781,42070000,SPY
2020-02-11,310.72741158108295,311.52233369965023,309.3593726178411,309.8955078125,54864500,SPY
2020-02-12,311.346671727077,312.1046403206261,310.9769398939677,311.8920593261719,43992700,SPY
2020-02-13,310.4500718938172,312.53909775227004,310.17278005806327,311.5592956542969,54501900,SPY
2020-02-14,311.9751925946315,312.1785492987707,310.76430483185203,312.0583801269531,64582200,SPY
