Date,Close_Spy,High_Spy,Low_Spy,Open_Spy,Volume_Spy,Ticker,Close_Qqq,High_Qqq,Low_Qqq,Open_Qqq,Volume_Qqq,Close_Aapl,High_Aapl,Low_Aapl,Open_Aapl,Volume_Aapl,Close_Msft,High_Msft,Low_Msft,Open_Msft,Volume_Msft
2020-01-02,300.2916564941406,300.3101614293198,298.12869473387735,299.06229128066025,59151200.0,SPY,,,,,,,,,,,,,,,
2020-01-03,298.0176696777344,299.15462263719553,296.80678163064766,296.8622399985499,77709700.0,SPY,,,,,,,,,,,,,,,
2020-01-06,299.1546936035156,299.23788117510304,296.1228183257225,296.2429875542618,55653900.0,SPY,,,,,,,,,,,,,,,
2020-01-07,298.3135070800781,299.06222335747646,297.8605594022021,298.58154649187225,40496400.0,SPY,,,,,,,,,,,,,,,
2020-01-08,299.9033508300781,301.1327156461502,298.25802002933847,298.50758269489893,68296000.0,SPY,,,,,,,,,,,,,,,
2020-01-09,301.9369201660156,302.0108834726726,300.8924070771922,301.4840006955028,48473300.0,SPY,,,,,,,,,,,,,,,
2020-01-10,301.0680236816406,302.6856253987053,300.59662750603604,302.52850274308224,53029300.0,SPY,,,,,,,,,,,,,,,
2020-01-13,303.1385192871094,303.14774354191627,301.26210275652477,301.6965454118192,47086800.0,SPY,,,,,,,,,,,,,,,
2020-01-14,302.6763610839844,303.75782743480147,302.1124967486909,302.6948378031608,62832800.0,SPY,,,,,,,,,,,,,,,
2020-01-15,303.3604431152344,304.1276361816568,302.50081001209224,302.5839975825184,72056600.0,SPY,,,,,,,,,,,,,,,
2020-01-16,305.8839416503906,305.8839416503906,304.5251547853655,304.75624079500415,54050300.0,SPY,,,,,,,,,,,,,,,
2020-01-17,306.8359375,307.0485185216617,305.81915367226685,306.6048515486395,95846000.0,SPY,,,,,,,,,,,,,,,
2020-01-21,306.235107421875,307.04853452646114,305.79144042572676,305.8653755221729,77742400.0,SPY,,,,,,,,,,,,,,,
2020-01-22,306.2721252441406,307.7603336927688,306.11500256736105,307.10402916889933,48914900.0,SPY,,,,,,,,,,,,,,,
2020-01-23,306.62335205078125,307.0393180789855,304.4881199513038,305.6158206097551,51963000.0,SPY,,,,,,,,,,,,,,,
2020-01-24,303.8964538574219,307.37199503339946,302.59312591643027,307.2888074893442,87578400.0,SPY,,,,,,,,,,,,,,,
2020-01-27,299.0252685546875,300.52270124394335,298.24882301984144,298.5908257687778,84062500.0,SPY,,,,,,,,,,,,,,,
2020-01-28,302.1588134765625,303.0461757880911,299.1177139210117,300.4672482169026,63834000.0,SPY,,,,,,,,,,,,,,,
2020-01-29,301.90924072265625,303.7671812384144,301.70588390894767,303.5360952323248,53888900.0,SPY,,,,,,,,,,,,,,,
2020-01-30,302.88897705078125,303.1015862851458,299.0622082933638,299.8201487893357,75491800.0,SPY,,,,,,,,,,,,,,,
2020-01-31,297.3891296386719,302.4175619764646,296.46478587376487,302.26041112458785,113845600.0,SPY,,,,,,,,,,,,,,,
2020-02-03,299.5982666015625,301.4839355918079,298.76636293810225,298.8865321289178,69083000.0,SPY,,,,,,,,,,,,,,,
2020-02-04,304.16455078125,305.0426886233829,302.9259335467426,303.24945949956697,62573200.0,SPY,,,,,,,,,,,,,,,
2020-02-05,307.6771240234375,307.8897332942469,305.65283665677237,307.13176445961125,65951100.0,SPY,,,,,,,,,,,,,,,
2020-02-06,308.7123718261719,308.9064761378909,307.6216246351767,308.64766098602024,50359700.0,SPY,,,,,,,,,,,,,,,
2020-02-07,307.0670471191406,308.72160234812134,306.5124351513807,307.6401358092892,64139400.0,SPY,,,,,,,,,,,,,,,
2020-02-10,309.3594055175781,309.424116359804,306.1334543767989,306.1704360307475,42070000.0,SPY,,,,,,,,,,,,,,,
2020-02-11,309.8955078125,311.52233369965023,309.3593726178411,310.72741158108295,54864500.0,SPY,,,,,,,,,,,,,,,
2020-02-12,311.8920593261719,312.1046403206261,310.9769398939677,311.346671727077,43992700.0,SPY,,,,,,,,,,,,,,,
2020-02-13,311.5593566894531,312.5391589793717,310.1728408215981,310.45013271167403,54501900.0,SPY,,,,,,,,,,,,,,,
2020-02-14,312.0585021972656,312.1786714160907,310.764426395951,311.9753146324029,64582200.0,SPY,,,,,,,,,,,,,,,
2020-02-18,311.2542419433594,312.12312721577035,309.8492215664927,311.0508852155881,57226200.0,SPY,,,,,,,,,,,,,,,
2020-02-19,312.7424621582031,313.4264675089638,311.94754007042536,312.2340843772971,48814700.0,SPY,,,,,,,,,,,,,,,
2020-02-20,311.4576416015625,313.01978481459753,308.43501944902675,312.18785286258,74163400.0,SPY,,,,,,,,,,,,,,,
2020-02-21,308.2501525878906,310.40386103447594,307.4182206764485,310.08958755606227,113788200.0,SPY,,,,,,,,,,,,,,,
2020-02-24,298.02691650390625,308.3240909414559,296.9361694687542,298.6924451148754,161088400.0,SPY,,,,,,,,,,,,,,,
2020-02-25,288.99609375,300.0512380943985,288.10873156875266,299.431943523171,218913200.0,SPY,,,,,,,,,,,,,,,
2020-02-26,287.93310546875,294.0430046962888,287.1936416820194,290.4103401839063,194773800.0,SPY,,,,,,,,,,,,,,,
2020-02-27,275.00152587890625,287.98854465077966,275.00152587890625,282.3500419743186,284353500.0,SPY,,,,,,,,,,,,,,,
2020-02-28,273.8460998535156,275.35278474241954,263.93713331079226,266.85806306798787,384975800.0,SPY,,,,,,,,,,,,,,,
2020-03-02,285.7054138183594,285.7701246526575,272.1822598867154,275.64854904040135,238703600.0,SPY,,,,,,,,,,,,,,,
2020-03-03,277.5249328613281,290.0960123429304,275.05695107348043,286.08436422320034,300139100.0,SPY,,,,,,,,,,,,,,,
2020-03-04,289.19012451171875,289.4119861571597,280.3811311516875,282.9600576883875,176613400.0,SPY,,,,,,,,,,,,,,,
2020-03-05,279.5770568847656,285.13237292520694,277.3124311838137,281.90642163958694,186366800.0,SPY,,,,,,,,,,,,,,,
2020-03-06,274.95526123046875,276.1754016496266,268.2722745244177,270.97134225424304,228667200.0,SPY,,,,,,,,,,,,,,,
2020-03-09,253.4827880859375,262.68924362399014,252.76180111383817,254.47181442612197,309417300.0,SPY,,,,,,,,,,,,,,,
