Date,Open,High,Low,Close,Volume,Ticker
2020-01-02,299.062200102734,300.3100698709436,298.1286038405854,300.29156494140625,59151200,SPY
2020-01-03,296.86230079706974,299.1546839052041,296.80684241780943,298.0177307128906,77709700,SPY
2020-01-06,296.2429573337146,299.2378506490387,296.1227881174342,299.1546630859375,55653900,SPY
2020-01-07,298.5815770368709,299.06225395164853,297.86058987344353,298.31353759765625,40496400,SPY
2020-01-08,298.50761307044644,301.13274628882607,298.258050379491,299.90338134765625,68296000,SPY
2020-01-09,301.48397022370244,302.0108529476188,300.89237666518585,301.9368896484375,48473300,SPY
2020-01-10,302.528533408701,302.68565608025074,300.5966579758314,301.06805419921875,53029300,SPY
2020-01-13,301.69660615664253,303.14780457892977,301.2621634138756,303.1385803222656,47086800,SPY
2020-01-14,302.6948378031608,303.75782743480147,302.1124967486909,302.6763610839844,62832800,SPY
2020-01-15,302.58396714304945,304.12760558690024,302.50077958099183,303.36041259765625,72056600,SPY
2020-01-16,304.7561799848659,305.8838806152344,304.5250940213374,305.8838806152344,54050300,SPY
2020-01-17,306.60488204323406,307.048549060383,305.8191840887167,306.8359680175781,95846000,SPY
2020-01-21,305.8653755221729,307.04853452646114,305.79144042572676,306.235107421875,77742400,SPY
2020-01-22,307.1039985684286,307.7603030269026,306.11497206543896,306.2720947265625,48914900,SPY
2020-01-23,305.6157901924544,307.0392875200072,304.4880896462409,306.6233215332031,51963000,SPY
2020-01-24,307.28890006406897,307.3720876331855,302.59321707652026,303.89654541015625,87578400,SPY
2020-01-27,298.59076482229733,300.5226399031406,298.2487621431684,299.02520751953125,84062500,SPY
2020-01-28,300.46721787017,303.04614518089073,299.11768371058,302.1587829589844,63834000,SPY
2020-01-29,303.53603386827723,303.76711982764965,301.70582291490285,301.9091796875,53888900,SPY
2020-01-30,299.82005816420065,303.10149466814704,299.0621178973276,302.8888854980469,75491800,SPY
2020-01-31,302.2603801071269,302.4175309428771,296.46475545104136,297.38909912109375,113845600,SPY
2020-02-03,298.8865321289178,301.4839355918079,298.76636293810225,299.5982666015625,69083000,SPY
2020-02-04,303.24945949956697,305.0426886233829,302.9259335467426,304.16455078125,62573200,SPY
2020-02-05,307.13173399612566,307.8897027555807,305.65280633997725,307.6770935058594,65951100,SPY
2020-02-06,308.64766098602024,308.9064761378909,307.6216246351767,308.7123718261719,50359700,SPY
